token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas	norm	ner	
faudroit	falloir	VERcjg	MODE=con|PERS.=3|NOMB.=s		MODE=con|		PERS.=3	NOMB.=s			faudrait	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ie	je	ADVgen	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		je	O	
fuſſe	être	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		fusse	O	
mauuais	mauuer	NOMcom	NOMB.=p					NOMB.=p			mauvais	O	
François	François	VERppe	NOMB.=s					NOMB.=s			Français	O	
pour	pour	PRE	MORPH=empty	MORPH=empty							pour	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
me	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r	me	O	
reſioüir	resiouir	VERinf	MORPH=empty	MORPH=empty							réjouir	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
des	un	DETndf	NOMB.=p					NOMB.=p			des	O	
contẽtemens	contatemens	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		contantements	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
voſtre	vôtre	NOMcom	NOMB.=s					NOMB.=s			votre	O	
contẽtemens	contatement	ADJqua	NOMB.=p					NOMB.=p			contantements	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
voſtre	vôtre	NOMcom	NOMB.=s					NOMB.=s			votre	O	
mai	mai	VERppe	NOMB.=s					NOMB.=s			mai	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m				PERS.=3	NOMB.=s	GENRE=m		son	O	
puis	puis	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind|		PERS.=1	NOMB.=s			puis	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		ce	O	
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			sont	O	
des	un	DETndf	NOMB.=p					NOMB.=p			des	O	
felicités	felicité	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		félicités	O	
publiques	public	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		publiques	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Nous	nous	PROper	PERS.=1|NOMB.=p				PERS.=1	NOMB.=p			Nous	O	
auõs	auls	VERcjg	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			avons	O	
ſçeu	sceuvoir	VERppe	NOMB.=s					NOMB.=s			su	O	
l’	le	DETdef	NOMB.=s					NOMB.=s					
heureux	heureux	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		heureux	O	
ſuccés	succer	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		succès	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
voyage	voyage	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		voyage	O	
que	que	PROrel	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auez	auez	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
fait	faire	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		fait	O	
en	en	PRE	MORPH=empty	MORPH=empty							en	O	
Bearn	Bearn	NOMpro	NOMB.=s					NOMB.=s			Béarn	B-loc	http://www.wikidata.org/entity/Q213763
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	je	PRE	MORPH=empty	MORPH=empty							et	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
grands	grand	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		grands	O	
commencemens	commencement	NOMcom	NOMB.=p					NOMB.=p			commencements	O	
que	que	PROrel	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auez	auez	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
donnez	donner	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			donnez	O	
à	à	PRE	MORPH=empty	MORPH=empty							à	O	
tout	tout	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		tout	O	
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		ce	O	
que	que	PROrel	MORPH=empty	MORPH=empty							que	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
Roy	Roy	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Roi	B-func	
voudra	vouloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			voudra	O	
entreprendre	entreprendre	VERinf	MORPH=empty	MORPH=empty							entreprendre	O	
:	:	PONfbl	MORPH=empty	MORPH=empty							:	O	
Et	et	CONcoo	MORPH=empty	MORPH=empty							Et	O	
certes	certes	ADVgen	MORPH=empty	MORPH=empty							certes	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
choix	choix	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		choix	O	
qu’	que	PROrel	MORPH=empty	MORPH=empty									
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
fait	faire	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		fait	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
pour	pour	PRE	MORPH=empty	MORPH=empty							pour	O	
le	il	PROper	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
ſeruir	seruir	VERinf	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		servir	O	
en	en	PRE	MORPH=empty	MORPH=empty							en	O	
vne	vne	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		une	O	
occaſion	occasion	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		occasion	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
telle	tel	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		telle	O	
importance	importance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		importance	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
eſté	esté	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		été	O	
ſi	si	ADVgen	MORPH=empty	MORPH=empty							si	O	
generalement	generalement	ADVgen	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		généralement	O	
approuué	approuuer	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		approuvé	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ſi	si	CONsub	MORPH=empty	MORPH=empty							si	O	
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n	on	O	
remarquoit	remarquer	VERcjg	MODE=con|PERS.=3|NOMB.=s		MODE=con|		PERS.=3	NOMB.=s			remarquait	O	
auparauant	auparauer	VERppa	MORPH=empty	MORPH=empty							auparavant	O	
quelques	quelque	DETrel	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		quelques	O	
deffaux	deffail	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		défauts	O	
en	en	PRE	MORPH=empty	MORPH=empty							en	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
conduite	conduite	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		conduite	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
nos	notre	DETpos	PERS.=1|NOMB.=p|GENRE=f				PERS.=1	NOMB.=p	GENRE=f		nos	O	
affaires	affaire	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		affaires	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			faut	O	
auoüer	auoüer	VERinf	MORPH=empty	MORPH=empty							avouer	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
cette	ce	DETdem	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		cette	O	
derniere	dernier	ADJord	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		dernière	O	
action	action	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		action	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
iuſtifié	iustifier	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		justifié	O	
toutes	tout	DETind	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		toutes	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
autres	autre	PROind	NOMB.=p					NOMB.=p			autres	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	s	PROdem	MORPH=empty	MORPH=empty							et	O	
qu’	que	PROrel	MORPH=empty	MORPH=empty									
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n	on	O	
voit	voir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			voit	O	
bien	bien	ADVgen	MORPH=empty	MORPH=empty							bien	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		ce	O	
n’	ne	ADVneg	MORPH=empty	MORPH=empty									
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			est	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
ſeule	seul	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		seule	O	
faueur	faueur	NOMcom	NOMB.=s					NOMB.=s			faveur	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
met	mettre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			met	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
difference	difference	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		différence	O	
entre	entre	PRE	MORPH=empty	MORPH=empty							entre	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
hõmes	hhme	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		hommes	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Ie	Ie	PROper	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		je	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
doute	douter	VERcjg	MODE=ind|PERS.=3|NOMB.=s|GENRE=m		MODE=ind|		PERS.=3	NOMB.=s	GENRE=m		doute	O	
point	point	ADVneg	MORPH=empty	MORPH=empty							point	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
bon	bon	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		bon	O	
droit	droit	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		droit	O	
&	je	PONfbl	MORPH=empty	MORPH=empty							et	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
puiſſance	puissance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		puissance	O	
ſe	se	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r	se	O	
rencontrant	rencontrer	VERppa	MODE=con|PERS.=3		MODE=con|		PERS.=3				rencontrant	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
meſme	même	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		même	O	
coſté	coster	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		côté	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
l’	le	DETdef	NOMB.=s					NOMB.=s					
euenement	euenement	NOMcom	NOMB.=s					NOMB.=s			événement	O	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p			des	O	
choſes	chose	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		choses	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			soit	O	
celuy	celuy	ADJqua	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		celui	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
nous	nous	PROper	PERS.=1|NOMB.=p				PERS.=1	NOMB.=p			nous	O	
deſirons	désirer	VERcjg	MODE=sub|TEMPS=pst|NOMB.=p		MODE=sub|			NOMB.=p			désirons	O	
;	;	PONfbl	MORPH=empty	MORPH=empty							;	O	
mais	mais	CONcoo	MORPH=empty	MORPH=empty							mais	O	
quoy	quoy	CONsub	MORPH=empty	MORPH=empty							quoi▁	O	
qu’	que	PROrel	MORPH=empty	MORPH=empty									
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
arriue	arriuer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			arrive	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auez	auez	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
deſia	désier	VERcjg	MORPH=empty	MORPH=empty							déjà	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
gloire	gloire	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		gloire	O	
d’	de	PRE	MORPH=empty	MORPH=empty									
auoir	auoir	NOMcom	NOMB.=s					NOMB.=s			avoir	O	
rendu	rendre	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		rendu	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
victoire	victoire	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		victoire	O	
ayſée	ayser	VERppe	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		aisée	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	avoir	DETndf	MORPH=empty	MORPH=empty							et	O	
fait	faire	VERcjg	MODE=ind|PERS.=3|NOMB.=s|GENRE=m		MODE=ind|		PERS.=3	NOMB.=s	GENRE=m		fait	O	
voir	voir	VERinf	MORPH=empty	MORPH=empty							voir	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
ennemis	ennemi	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		ennemis	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
l'	le	DETdef	NOMB.=s					NOMB.=s			l'	O	
Eſtat	Estat	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		État	O	
n’	ne	ADVneg	MORPH=empty	MORPH=empty									
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			ont	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
eſté	ester	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		été	O	
iuſques	iusque	ADVgen	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		Jusques	O	
icy	ici	ADVgen	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		ici	O	
ſi	si	ADVgen	MORPH=empty	MORPH=empty							si	O	
conſiderables	considerable	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		considérables	O	
par	par	PRE	MORPH=empty	MORPH=empty							par	O	
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m				PERS.=3	NOMB.=p	GENRE=m		leurs	O	
propres	propre	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		propres	O	
forces	force	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		forces	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
par	par	PRE	MORPH=empty	MORPH=empty							par	O	
l’	le	DETdef	NOMB.=s					NOMB.=s					
opinion	opinion	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		opinion	O	
que	que	PROrel	MORPH=empty	MORPH=empty							que	O	
nous	nous	PROper	PERS.=1|NOMB.=p				PERS.=1	NOMB.=p			nous	O	
en	en	PROadv	MORPH=empty	MORPH=empty							en	O	
auions	auions	VERcjg	NOMB.=p					NOMB.=p			avions	O	
conceuë	conceuer	VERppe	MORPH=empty	MORPH=empty							conçue	O	
[	le	PONfbl	MORPH=empty	MORPH=empty							[	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
]	s	PONfrt	MORPH=empty	MORPH=empty									
Maintenãt	maintenir	ADJqua	MODE=imp|NOMB.=s		MODE=imp|			NOMB.=s			]	O	
Monſeigneur	Monseigneur	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Monseigneur	B-pers	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			est	O	
temps	temps	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		temps	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
recognoiſſiez	recognoisser	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			reconnaissiez	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
auantages	auantage	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		avantages	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Dieu	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
donnés	donner	VERppe	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		donnés	O	
par	par	PRE	MORPH=empty	MORPH=empty							par	O	
deſſus	dessus	PRE	MORPH=empty	MORPH=empty							dessus	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
reſte	reste	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		reste	O	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p			des	O	
hommes	homme	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		hommes	O	
;	;	PONfbl	MORPH=empty	MORPH=empty							;	O	
Au	à_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Au	O	
moins	moins	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		moins	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
deuez	deuer	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			devez	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
ſouuenir	souuenir	VERinf	MORPH=empty	MORPH=empty							souvenir	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
qu’	que	CONsub	MORPH=empty	MORPH=empty									
eſtant	estant	VERppa	MORPH=empty	MORPH=empty							étant	O	
las	las	ADJqua	GENRE=m						GENRE=m		las	O	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p			des	O	
choſes	chose	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		choses	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
monde	monde	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		monde	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	s	DETndf	MORPH=empty	MORPH=empty							et	O	
eſloigné	esloigner	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		éloigné	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
Cour	cour	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		Cour	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
neceſſité	necessité	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		nécessité	O	
publique	public	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		publique	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
eût	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			eût	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
eſté	ester	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		été	O	
chercher	chercher	VERinf	MORPH=empty	MORPH=empty							chercher	O	
dans	dans	PRE	MORPH=empty	MORPH=empty							dans	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
repos	repos	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		repos	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
voſtre	vôtre	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		votre	O	
maiſon	maison	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		maison	O	
pour	pour	PRE	MORPH=empty	MORPH=empty							pour	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
mettre	mettre	VERinf	MORPH=empty	MORPH=empty							mettre	O	
entre	entre	PRE	MORPH=empty	MORPH=empty							entre	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
mains	main	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		mains	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
armes	arme	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		armes	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
Roy	Roy	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Roi	B-func	
ſi	si	CONsub	MORPH=empty	MORPH=empty							si	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
n’	ne	ADVneg	MORPH=empty	MORPH=empty									
