token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas
Miniſtre	ministre	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
d’	de	PRE	MORPH=empty	MORPH=empty						
Eſlat	eslat	NOMpro	NOMB.=s					NOMB.=s		
découuoree	découvrir	VERppe	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
elque	elque	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
amour	amour	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
que	que	PROrel	MORPH=empty	MORPH=empty						
i’	je	PROper	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
aye	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
pour	pour	PRE	MORPH=empty	MORPH=empty						
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f				PERS.=1	NOMB.=s	GENRE=f	
Patrie	patrie	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
l	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
faur	faur	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
auoüer	avouer	VERinf	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
i	i	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
’	’	CONcoo	MORPH=empty	MORPH=empty						
enay	enay	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s		
peaucoup	peaucoup	ADVgen	MORPH=empty	MORPH=empty						
plus	plus	ADVgen	MORPH=empty	MORPH=empty						
pour	pour	PRE	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
verité	vérité	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
c’	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n	
qui	qui	PROrel	MORPH=empty	MORPH=empty						
m’	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
oblige	obliger	VERppe	NOMB.=s					NOMB.=s		
d’	de	PRE	MORPH=empty	MORPH=empty						
exan	exan	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
Iner	iner	VERinf	MORPH=empty	MORPH=empty						
ſi	si	CONsub	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
haine	haine	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
publique	public	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
que	que	PROrel	MORPH=empty	MORPH=empty						
don	don	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
cohcuë	cohcevoir	PROind	GENRE=m						GENRE=m	
contre	contre	PRE	MORPH=empty	MORPH=empty						
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
Mazarin	Mazarin	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
bien	bien	ADVgen	MORPH=empty	MORPH=empty						
fondee	fonder	VERppe	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
s’	si	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
doir	doir	VERinf	MORPH=empty	MORPH=empty						
eſtre	être	VERinf	MORPH=empty	MORPH=empty						
noircy	noircir	ADVgen	MORPH=empty	MORPH=empty						
des	de_le	DETndf	NOMB.=p					NOMB.=p		
titres	titre	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
honteux	honteux	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
que	que	CONsub	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s					NOMB.=s		
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
luy	il	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r
donr	don	VERinf	NOMB.=s					NOMB.=s		
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
.	.	PONfrt	MORPH=empty	MORPH=empty						
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
bien	bien	ADVgen	MORPH=empty	MORPH=empty						
vray	vrai	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
que	que	CONsub	MORPH=empty	MORPH=empty						
ie	je	PROper	PERS.=1|NOMB.=s				PERS.=1	NOMB.=s		
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
auois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=1	NOMB.=s		
qu	que	ADVgen	MORPH=empty	MORPH=empty						
à	avoir	VERcjg	PERS.=3|NOMB.=s				PERS.=3	NOMB.=s		
conſiderr	considérer	VERinf	MORPH=empty	MORPH=empty						
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
Arreſts	arrêt	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
prononcez	prononcer	VERcjg	MODE=imp|NOMB.=p		MODE=imp			NOMB.=p		
contre	contre	PRE	MORPH=empty	MORPH=empty						
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
perfide	perfide	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
vnion	union	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p		
Princes	prince	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
tous	tout	DETind	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
Pai	pai	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
lcmens	liment	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
pour	pour	PRE	MORPH=empty	MORPH=empty						
m’	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r
oſter	ôter	VERinf	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
doute	doute	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
De	de	PRE	MORPH=empty	MORPH=empty						
ſorre	sorre	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
que	que	PROrel	MORPH=empty	MORPH=empty						
je	je	PROper	PERS.=1|NOMB.=s|CAS=n				PERS.=1	NOMB.=s		CAS=n
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
ſuis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s		
plus	plus	ADVgen	MORPH=empty	MORPH=empty						
en	en	PRE	MORPH=empty	MORPH=empty						
peine	peine	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
point	point	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
puis	puis	ADVgen	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
des	un	DETndf	NOMB.=p					NOMB.=p		
Heros	héro	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
ſi	si	ADVgen	MORPH=empty	MORPH=empty						
genereux	généreux	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
dont	dont	PROrel	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
vieille	vieux	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
Rome	Rome	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
auroit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s		MODE=con		PERS.=3	NOMB.=s		
fait	faire	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ſes	son	DETpos	PERS.=3|NOMB.=p|GENRE=f				PERS.=3	NOMB.=p	GENRE=f	
duinitez	duinité	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
des	de_le	DETndf	NOMB.=p					NOMB.=p		
Senateurs	sénateur	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
dont	dont	PROrel	MORPH=empty	MORPH=empty						
la	il	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
probiré	probirer	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
incomparable	incomparable	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
me	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r
leuent	l'uent	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s		MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s		
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ſcrupule	scrupule	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
Ileſt	ilest	VERcjg	MODE=imp|NOMB.=p		MODE=imp			NOMB.=p		
bien	bien	ADVgen	MORPH=empty	MORPH=empty						
vtay	venir	ADVgen	NOMB.=s					NOMB.=s		
que	que	CONsub	MORPH=empty	MORPH=empty						
qualque	qualque	DETind	NOMB.=s					NOMB.=s		
ſom	som	NOMcom	NOMB.=s|GENRE=m|CAS=n					NOMB.=s	GENRE=m	CAS=n
que	que	CONsub	MORPH=empty	MORPH=empty						
i’	je	PROper	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
euſſe	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s		MODE=sub	TEMPS=ipf	PERS.=1	NOMB.=s		
apporté	apporter	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
à	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
eſtudier	étudier	VERinf	MORPH=empty	MORPH=empty						
toutes	tout	DETind	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
act	act	VERcjg	TEMPS=psp|NOMB.=s			TEMPS=psp		NOMB.=s		
ions	jong	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
meſchant	méchant	VERppa	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
Miniſtre	ministre	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
ie	je	PROper	PERS.=3|NOMB.=s				PERS.=3	NOMB.=s		
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
y	y	PROadv	MORPH=empty	MORPH=empty						
auois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=1	NOMB.=s		
pû̂	pouvoir	VERppe	NOMB.=s					NOMB.=s		
remarquer	remarquer	VERinf	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
laſcheté	lâcheté	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
ignorance	ignorance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
:	:	PONfbl	MORPH=empty	MORPH=empty						
mais	mais	CONcoo	MORPH=empty	MORPH=empty						
certes	certes	ADVgen	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
peu	peu	PROind	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
m’	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r
eſtre	être	VERinf	MORPH=empty	MORPH=empty						
trompé	tromper	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
ie	je	PROper	PERS.=1|NOMB.=s				PERS.=1	NOMB.=s		
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
oſois	oser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=2	NOMB.=s		
prononcer	prononcer	VERinf	MORPH=empty	MORPH=empty						
hardiment	hardiment	ADVgen	MORPH=empty	MORPH=empty						
ſuiuant	suivre	VERppa	MORPH=empty	MORPH=empty						
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f				PERS.=1	NOMB.=s	GENRE=f	
penſee	pensée	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
On	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
dire	dire	VERinf	MORPH=empty	MORPH=empty						
qu’	que	CONsub	MORPH=empty	MORPH=empty						
en	en	PRE	MORPH=empty	MORPH=empty						
quelque	quelque	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
façon	façon	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
nous	nous	PROper	PERS.=1|NOMB.=p				PERS.=1	NOMB.=p		
ſomes	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=p		
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
aush	aush	VERcjg	MODE=ind|NOMB.=s		MODE=ind			NOMB.=s		
urs	ur	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
nos	notre	DETpos	PERS.=1|NOMB.=p|GENRE=m				PERS.=1	NOMB.=p	GENRE=m	
maux	mal	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
;	;	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
puis	puis	ADVgen	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
flatteriea	flatterie	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
eſté	être	ADJqua	TEMPS=pst|NOMB.=s|GENRE=m			TEMPS=pst		NOMB.=s	GENRE=m	
ſi	si	ADVgen	MORPH=empty	MORPH=empty						
grande	grand	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
en	en	ADVgen	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
ame	âme	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
pluſieurs	plusieurs	PROind	NOMB.=p					NOMB.=p		
que	que	CONsub	MORPH=empty	MORPH=empty						
ie	je	PROper	PERS.=1|NOMB.=s				PERS.=1	NOMB.=s		
connoi	connaître	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s		MODE=ind	TEMPS=psp	PERS.=1	NOMB.=s		
,	,	PONfbl	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
lon	long	PROind	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
point	point	ADVgen	MORPH=empty	MORPH=empty						
eu	avoir	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
honte	honte	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
luydopner	luydopner	VERinf	MORPH=empty	MORPH=empty						
es	en_le	CONcoo	NOMB.=p					NOMB.=p		
élpgs	élire	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
qui	qui	PROrel	MORPH=empty	MORPH=empty						
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
eſloient	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p		MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=p		
deubs	deux	ADVgen	MORPH=empty	MORPH=empty						
quau	quau	DETcar	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
imenss	imens	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
qu’	que	CONsub	MORPH=empty	MORPH=empty						
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
d’	de	PRE	MORPH=empty	MORPH=empty						
Albornos	alborno	NOMpro	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
ichelies	ichelie	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
C’	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
abuzer	abuser	VERinf	MORPH=empty	MORPH=empty						
des	un	PRE.DETdef	NOMB.=p					NOMB.=p		
fleurs	fleur	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
éloquence	éloquence	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
montrer	montrer	VERinf	MORPH=empty	MORPH=empty						
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
y	y	PROadv	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
rien	rien	PROind	NOMB.=s					NOMB.=s		
d’	de	PRE	MORPH=empty	MORPH=empty						
infame	infâme	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
en	en	ADVgen	MORPH=empty	MORPH=empty						
Ia	jà	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
narure	narure	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
qui	qui	PROrel	MORPH=empty	MORPH=empty						
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
reçoiue	recevoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
des	un	DETndf	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
applaudiſſemens	applaudissement	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
que	que	PROrel	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s					NOMB.=s		
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
couronne	couronner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
des	de_le	DETndf	NOMB.=p					NOMB.=p		
monſtres	monstre	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
que	que	PROrel	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s					NOMB.=s		
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
deuroit	devoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=s		
égorger	esgarger	VERinf	MORPH=empty	MORPH=empty						
.	.	PONfrt	MORPH=empty	MORPH=empty						
Ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n				PERS.=1	NOMB.=s	GENRE=m	CAS=n
crois	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s		
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
y	y	PROadv	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
